ISO,Country,Base Description,Base USD/min,Mobile Description,Mobile USD/min
AL,Albania,Programmable Outbound Minute - Albania,0.29500,Programmable Outbound Minute - Albania - Mobile,0.72650
AD,Andorra,Programmable Outbound Minute - Andorra,0.05890,Programmable Outbound Minute - Andorra - Mobile,0.36640
AM,Armenia,Programmable Outbound Minute - Armenia,0.34230,Programmable Outbound Minute - Armenia - Mobile,0.41290
AT,Austria,Programmable Outbound Minute - Austria - from EEA,0.01760,Programmable Outbound Minute - Austria - Mobile - Mobility Services - from EEA,0.01600
AZ,Azerbaijan,Programmable Outbound Minute - Azerbaijan,0.39890,Programmable Outbound Minute - Azerbaijan - Mobile,0.62570
BY,Belarus,Programmable Outbound Minute - Belarus,0.61890,Programmable Outbound Minute - Belarus - Mobile,0.62100
BE,Belgium,Programmable Outbound Minute - Belgium - Service & Personal,0.05600,Programmable Outbound Minute - Belgium - Mobile - from EEA,0.03870
BA,Bosnia and Herzegovina,Programmable Outbound Minute - Bosnia,0.31250,Programmable Outbound Minute - Bosnia - Mobile,0.64100
BG,Bulgaria,Programmable Outbound Minute - Bulgaria - from EEA,0.03000,Programmable Outbound Minute - Bulgaria - Mobile - from EEA,0.21090
HR,Croatia,Programmable Outbound Minute - Croatia - from EEA,0.03000,Programmable Outbound Minute - Croatia - Mobile - from EEA,0.09500
CY,Cyprus,Programmable Outbound Minute - Cyprus,0.20820,Programmable Outbound Minute - Cyprus - Mobile,0.15000
CZ,Czech Republic,Programmable Outbound Minute - Czech Republic - from EEA,0.03740,Programmable Outbound Minute - Czech Republic - Mobile - from EEA,0.04950
DK,Denmark,Programmable Outbound Minute - Denmark,0.02190,Programmable Outbound Minute - Denmark - Mobile,0.05080
EE,Estonia,Programmable Outbound Minute - Estonia,0.06570,Programmable Outbound Minute - Estonia - Mobile - from EEA,0.06330
FI,Finland,Programmable Outbound Minute - Finland - Helsinki - from EEA,0.04400,Programmable Outbound Minute - Finland - Mobile - from EEA,0.04400
FR,France,Programmable Outbound Minute - France,0.01870,Programmable Outbound Minute - France - Mobile - Bouygues - from EEA,0.04040
GE,Georgia,Programmable Outbound Minute - Georgia,0.36620,Programmable Outbound Minute - Georgia - Mobile,0.47270
DE,Germany,Programmable Outbound Minute - Germany,0.02100,Programmable Outbound Minute - Germany - Mobile - Eplus - from EEA,0.04200
GI,Gibraltar,Programmable Outbound Minute - Gibraltar,0.08810,Programmable Outbound Minute - Gibraltar - Mobile,0.35580
GR,Greece,Programmable Outbound Minute - Greece - from EEA,0.02140,Programmable Outbound Minute - Greece - Mobile - from EEA,0.06960
HU,Hungary,Programmable Outbound Minute - Hungary - from EEA,0.01500,Programmable Outbound Minute - Hungary - Mobile - from EEA,0.06300
IS,Iceland,Programmable Outbound Minute - Iceland,0.02900,Programmable Outbound Minute - Iceland - Mobile,0.05000
IE,Ireland,Programmable Outbound Minute - Ireland,0.01680,Programmable Outbound Minute - Ireland - Mobile,0.09450
IT,Italy,Programmable Outbound Minute - Italy,0.01680,Programmable Outbound Minute - Italy - Mobile - from EEA,0.04450
XK,Kosovo,Programmable Outbound Minute - Kosovo,0.31930,Programmable Outbound Minute - Kosovo - Mobile,1.17140
LV,Latvia,Programmable Outbound Minute - Latvia - from EEA,0.25840,Programmable Outbound Minute - Latvia - Mobile - from EEA,0.31360
LI,Liechtenstein,Programmable Outbound Minute - Liechtenstein,0.20300,Programmable Outbound Minute - Liechtenstein - Mobile,0.26500
LT,Lithuania,Programmable Outbound Minute - Lithuania - from EEA,0.09200,Programmable Outbound Minute - Lithuania - Mobile - from EEA,0.35480
LU,Luxembourg,Programmable Outbound Minute - Luxembourg - from EEA,0.01650,Programmable Outbound Minute - Luxembourg - Mobile - from EEA,0.03310
MK,Macedonia,Programmable Outbound Minute - Macedonia,0.41100,Programmable Outbound Minute - Macedonia - Mobile,0.77880
MT,Malta,Programmable Outbound Minute - Malta,0.22470,Programmable Outbound Minute - Malta - Mobile,0.56790
MD,Moldova,Programmable Outbound Minute - Moldova,0.44200,Programmable Outbound Minute - Moldova - Mobile,0.58950
MC,Monaco,Programmable Outbound Minute - Monaco,0.12000,Programmable Outbound Minute - Monaco - Mobile,0.63250
ME,Montenegro,Programmable Outbound Minute - Montenegro,0.45200,Programmable Outbound Minute - Montenegro - Mobile,0.86990
NL,Netherlands,Programmable Outbound Minute - Netherlands - from EEA,0.01790,Programmable Outbound Minute - Netherlands - Mobile - from EEA,0.02410
